# Model|Interface|RPM|Cache-MB|IMG
ST4000DM001|SATA 6|5900|128|seagate/Barracuda 4TB.png
ST4000NM0115|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0085|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0023|SAS 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0095|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000NM0135|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000DM000|SATA 3||64|seagate/Desktop 4TB.png
STBD4000400|SATA 6||64|seagate/Desktop 4TB.png
ST4000VM000|SATA 6|5900|64|seagate/Surveillance 4TB.png
STBD4000101|SATA 6|||seagate/Surveillance 4TB.png
ST4000NM0043|SAS 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0075|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000NM0055|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0014|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000NM0063|SAS 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0045|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0124|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0024|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0065|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000NM0053|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0034|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000NM0064|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000VN0011|SATA 6|7200|128|seagate/NAS 4TB.png
ST4000NM0004|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0245|SATA 6|7200|128|seagate/Enterprise 4TB.png
ST4000NM0125|SAS 12|7200|128|seagate/Enterprise 4TB.png
ST4000DX001|SATA 6||64|seagate/Desktop SSHD.png
# 5TB
ST5000VX0001|SATA 6||128|seagate/Surveillance 5TB.png
ST5000VN0011|SATA 6|7200|128|seagate/NAS 5TB.png
ST5000DM000|SATA6|5900|128|seagate/Desktop 5TB.png
ST5000NM0084|SATA 6|7200|128|seagate/Enterprise.png
ST5000NM0024|SATA 6|7200|128|seagate/Enterprise.png
ST5000VN0001|SATA 6|7200|128|seagate/NAS 5TB.png
ST5000AS0011|SATA 6|5900|128|seagate/Archive.png
# 6TB
ST6000NM0235|SATA 6|7200|256|seagate/Enterprise 6TB.png
ST6000NM0245|SAS 12|7200|256|seagate/Enterprise 6TB.png
ST6000VN0021|SATA 6||128|seagate/NAS 6TB.png
ST6000VN0001|SATA 6|7200|128|seagate/NAS 6TB.png
ST6000VN0031|SATA 6||128|seagate/NAS 6TB.png
ST6000VX0011|SATA 6||128|seagate/Surveillance 6TB.png
ST6000VX0001|SATA 6||128|seagate/Surveillance 6TB.png
ST6000NM0115|SATA 6|7200|256|seagate/Enterprise 6TB.png
ST6000NM0125|SATA 6|7200|256|seagate/Enterprise 6TB.png
ST6000NM0105|SAS 12|7200|256|seagate/Enterprise 6TB.png
ST6000NM0205|SAS 12|7200|256|seagate/Enterprise 6TB.png
ST6000NM0175|SATA 6|7200|256|seagate/Enterprise 6TB.png
ST6000NM0004|SATA 6|7200|128|seagate/Enterprise 6TB.png
ST6000NM0095|SAS 12|7200|256|seagate/Enterprise 6TB.png
ST6000NM0034|SAS 12|7200|128|seagate/Enterprise 6TB.png
ST6000NM0195|SAS 12|7200|256|seagate/Enterprise 6TB.png
ST6000NM0285|SAS 12|7200|256|seagate/Enterprise 6TB.png
ST6000NM0074|SAS 12|7200|128|seagate/Enterprise 6TB.png
ST6000NM0014|SAS 12|7200|128|seagate/Enterprise 6TB.png
ST6000NM0024|SATA 6|7200|128|seagate/Enterprise 6TB.png
ST6000DM001|SATA 6||128|seagate/Desktop 6TB.png
STBD6000100|SATA 6||128|seagate/Desktop 6TB.png
ST6000DX000|SATA 6||128|seagate/Desktop 6TB.png
# 8TB
ST8000VX0012|SATA 6||256|seagate/Surveillance.png
ST8000VX0002|SATA 6||256|seagate/Surveillance.png
ST8000NM0055|SATA 6|7200|256|seagate/Enterprise 8TB.png
ST8000NM0045|SATA 6|7200|256|seagate/Enterprise 8TB.png
ST8000NM0065|SAS 12|7200|256|seagate/Enterprise 8TB.png
ST8000NM0095|SAS 12|7200|256|seagate/Enterprise 8TB.png
ST8000NM0115|SATA 6|7200|256|seagate/Enterprise 8TB.png
ST8000NM0105|SATA 6|7200|256|seagate/Enterprise 8TB.png
ST8000NM0075|SAS 12|7200|256|seagate/Enterprise 8TB.png
ST8000NM0085|SAS 12|7200|256|seagate/Enterprise 8TB.png
ST8000VN0002|SATA 6||256|seagate/NAS 8TB.png
ST8000NE0011|SATA 6|7200|256|seagate/NAS 8TB.png
ST8000NE0001|SATA 6|7200|256|seagate/NAS 8TB.png
ST8000DM002|SATA 6|7200|256|seagate/Desktop 8TB.png
STBD8000400|SATA 6|||seagate/Desktop 8TB.png
ST8000AS0002|SATA 6|5900|128|seagate/Archive 8TB.png
ST8000DM0004|SATA 6|7200|256|seagate/Barracuda 8TB.png
# 10TB
ST10000NM0086|SATA 6|7200|256|seagate/Enterprise 10TB.png
ST10000NM0096|SAS 12|7200|256|seagate/Enterprise 10TB.png
ST10000NM0016|SATA 6|7200|256|seagate/Enterprise 10TB.png
ST10000NM0206|SAS 12|7200|256|seagate/Enterprise 10TB.png
ST10000NM0146|SATA 6|7200|256|seagate/Enterprise 10TB.png
# Maxtor
6B300R0|ATA133|7200|16|maxtor/IDE.png
# SanDisk
# Samsung
SSD 850|SATA 6|||samsung/SSD1.png
